name,category,caloriesNumberHundred
Свинина,MEAT,484
Говядина,MEAT,191
Баранина,MEAT,201
Телятина,MEAT,91
Кролик,MEAT,197
Курица,POULTRY,161
Индейка,POULTRY,192
Цыпленок,POULTRY,159
Утка,POULTRY,348
Гусь,POULTRY,359
Горбуша,FISH,151
Лосось,FISH,200
Минтай,FISH,67
Кета,FISH,138
Камбала,FISH,86
Килька,FISH,142
Корюшка,FISH,93
Навага,FISH,78
Сельдь,FISH,248
Семга,FISH,222
Скумбрия,FISH,158
Форель,FISH,99
Тунец,FISH,95
Ставрида,FISH,119
Куриное яйцо,EGGS,153
Перепелиное яйцо,EGGS,170
Утиное яйцо,EGGS,176
Омлет,EGGS,181
Масло растительное льняное,OILS,898
Масло растительное оливковое,OILS,898
Масло растительное подсолнечное,OILS,899
"Масло сливочное 82,5%",OILS,747
Масло топленое,OILS,885
Молоко 0%,DAIRY,34
Молоко 1%,DAIRY,43
"Молоко 2,5%",DAIRY,53
"Молоко 3,2%",DAIRY,58
Молоко сухое цельное,DAIRY,477
Молоко сгущенное,DAIRY,139
Кефир 0%,DAIRY,29
Кефир 1%,DAIRY,37
"Кефир 2,5%",DAIRY,51
"Кефир 3,2%",DAIRY,57
Сметана 10%,DAIRY,118
Сметана 15%,DAIRY,163
Сметана 20%,DAIRY,208
Творог жирный,DAIRY,236
Творог нежирный,DAIRY,89
Творог полужирный,DAIRY,156
"Ряженка 2,5%",DAIRY,53
"Ряженка 4,0%",DAIRY,68
"Йогурт 1,5%",DAIRY,65
"Йогурт 3,2%",DAIRY,87
Сливки 10%,DAIRY,121
Сливки 20%,DAIRY,209
Сыр сулугуни,DAIRY,293
Сыр российский,DAIRY,366
Сыр пошехонский,DAIRY,348
Овсяная крупа,GRITS,342
Кукурузная крупа,GRITS,328
Ячневая крупа,GRITS,313
Перловая крупа,GRITS,315
Манная крупа,GRITS,333
Гречневая крупа,GRITS,350
Пшеничная крупа,GRITS,342
Рис белый длиннозерный,GRITS,365
Хлеб пшеничный,FLOUR,246
Хлеб ржаной,FLOUR,210
Сухари пшеничные,FLOUR,327
Лаваш армянский,FLOUR,239
Батон нарезной,FLOUR,261
Баранки,FLOUR,342
Сушки,FLOUR,335
Булочка,FLOUR,218
Огурцы,VEGETABLES,15
Томаты,VEGETABLES,19
Картофель вареный,VEGETABLES,80
Картофель молодой,VEGETABLES,57
Морковь,VEGETABLES,29
Лук репчатый,VEGETABLES,41
Редис,VEGETABLES,22
Кабачки,VEGETABLES,30
Баклажаны,VEGETABLES,22
Свекла,VEGETABLES,46
Капуста белокочанная,VEGETABLES,31
Фасоль,VEGETABLES,36
Редька,VEGETABLES,33
Перец сладкий,VEGETABLES,25
Банан,FRUITS,87
Апельсин,FRUITS,38
Яблоко,FRUITS,48
Груша,FRUITS,41
Персик,FRUITS,42
Абрикос,FRUITS,44
Ананас,FRUITS,49
Киви,FRUITS,46
Лимон,FRUITS,30
Хурма,FRUITS,61
Мандарин,FRUITS,39
Петрушка,GREENERY,45
Лук-перо,GREENERY,21
Салат,GREENERY,15
Щавель,GREENERY,29
Шпинат,GREENERY,22
Укроп,GREENERY,40
Кинза,GREENERY,23
Вишня,BERRIES,46
Черешня,BERRIES,54
Клубника,BERRIES,30
Земляника,BERRIES,40
Смородина черная,BERRIES,38
Малина,BERRIES,43
Виноград,BERRIES,73
Кизил,BERRIES,42
Ежевика,BERRIES,31
